City/Context,Region,Year,Discipline,Governance Type,Key Finding,Citation,Journal/Source,DOI,Open Access,Scholar Gateway
EU member states,Europe,2025,Public Policy,Regulatory framework,"Evidence-informed AI governance: Multi-Criteria Analysis, Regulatory Sandboxes, harmonisation. Europe's leadership in international AI regulation.",Maydell (2025),Contemporary European Politics 3(3),https://doi.org/10.1002/cep4.70016,Yes,Yes
China (78 policy documents),Asia,2025,Public Policy,AI strategy,"LDA topic modelling of 78 Chinese AI policies: 7 themes including pilot zone construction, social governance, infrastructure. Growing central-local coordination.",Gao; Dai & Wu (2025),Proceedings of the Association for Information Science and Technology 62(1),https://doi.org/10.1002/pra2.1248,No,Yes
Jalisco; Mexico,Latin America,2025,Public Policy,AI adoption policy,"Multiple Streams Framework: problems, policies, politics must converge for AI agenda change. Policy entrepreneurs key to adoption in Mexican state public sector.",Ruvalcaba-Gomez & Garcia-Benitez (2025),Policy & Internet 17(4),https://doi.org/10.1002/poi3.70021,No,Yes
USA & Singapore,Global,2025,Public Policy,AI competitiveness,"AI infrastructure and research capacity predict national competitiveness. USA leads via public-private partnerships; Singapore via Model AI Governance Framework.",Jeon (2025),Journal of International Development 37(7),https://doi.org/10.1002/jid.70018,No,Yes
Guangdong; China,Asia,2025,Public Policy,AI megaproject governance,"Urban AI megaproject in healthcare: enhances efficiency and patient care; challenges include data privacy, ethics, infrastructure. Policy recommendations for smart healthcare governance.",Guo & Cugurullo (2025),Public Administration and Development 45(3),https://doi.org/10.1002/pad.2111,Yes,Yes
Global — AI policy indices,Global,2023,Public Policy,AI governance indicators,"Global AI indices create path dependence on policy; AI framed as competitiveness not ethics, limiting policy alternatives including AI ethics.",Erkkilä (2023),Review of Policy Research 40(5),https://doi.org/10.1111/ropr.12556,Yes,Yes
Germany,Europe,2024,Public Policy,AI problem framing,"Discourse network analysis of 6,421 statements: German actors frame AI as technology/innovation policy, not civil rights. National government struggles to steer AI agenda.",Lemke; Trein & Varone (2024),European Policy Analysis 10(2),https://doi.org/10.1002/epa2.1203,No,Yes
Argentina; Brazil; Chile; Colombia; Mexico; Uruguay,Latin America,2023,Public Policy,AI strategy,"AI policy design in Latin America: political regimes and governance modes shape different design spaces for national AI strategies across 6 countries.",Filgueiras (2023),Latin American Policy 14(1),https://doi.org/10.1111/lamp.12282,No,Yes
Multiple urban spaces,Global,2025,Public Policy,AI ideology,"AIdeology: AI is not only technology but ideology shaping urban spaces, governance, sustainability narratives. Critical theory linking AI to spatial inequality.",Cugurullo (2025),Antipode 58(1),https://doi.org/10.1111/anti.70065,Yes,Yes
Sustainability transitions,Global,2024,Public Policy,Smart governance modes,"Five governance modes for urban sustainability: participatory, collaborative, multilevel, smart (AI/IoT), network. Smart governance prominent since 2015.",Massuga et al. (2024),Environmental Policy and Governance 34(6),https://doi.org/10.1002/eet.2115,No,Yes
Beijing (Haidian),Asia,2025,Public Policy,Anticipatory governance,"GenAI city brains reshape anticipatory urban governance and public policy. 14 semi-structured interviews 2022-23. Policy mobility to Malaysia and Saudi Arabia.",Cugurullo et al. (2025),Policy & Society 44(1),https://academic.oup.com/policyandsociety/article/44/1/98/7725661,No,No
BRICS + UAE nations,Global,2025,Public Policy,Comparative AI governance,"AI governance in BRICS nations: ethical embedding, strong legal frameworks, balance of innovation/accountability. Inclusive participatory governance recommended.",Sharma & Sharma (2025),AI Magazine 46(2),https://doi.org/10.1002/aaai.70010,Yes,Yes
Global (SLR),Global,2025,Public Administration,Algorithmic discretion,"SLR: ICTs change street-level discretion via removing face-to-face interaction, standardising processes, enhancing monitoring. Bureaucrats resist ICT standardisation.",Northcott (2025),Policy Studies Journal,https://doi.org/10.1111/psj.70024,No,Yes
Global,Global,2023,Public Administration,Inclusive AI,"Participatory governance as mechanism for inclusive AI contributing to social good. Policy recommendations at national and global levels.",Moon (2023),Public Administration Review 83(6),https://doi.org/10.1111/puar.13648,No,Yes
Chatbot deployments (global),Global,2025,Public Administration,AI public service delivery,"Government chatbots in public encounters: three puzzles — discretion, emotion, accountability. Raises democratic accountability questions.",Alishani; Homburg & Velsberg (2025),Public Administration Review 86(1),https://doi.org/10.1111/puar.70005,No,Yes
Multiple OECD countries,Global,2023,Public Administration,AI readiness,"Oxford AI Readiness Index: AI advancement insufficient alone — privacy, transparency, inclusion, accountability principles key. Advanced democracies often ready but not responsible.",Nzobonimpa & Savard (2023),Policy & Internet 15(3),https://doi.org/10.1002/poi3.351,Yes,Yes
Chinese cities,Asia,2025,Public Administration,Algorithmic transparency,"Replication study in China: algorithmic explainability enhances public trust across cultural contexts. Stronger effects in high-discretion situations.",Fang; Zhou & Chen (2025),Public Administration 103(4),https://doi.org/10.1111/padm.70015,No,Yes
UAE (Dubai) & Kuwait,Middle East,2025,Public Administration,Post-NPM AI governance,"Vertical rule coherence not wealth determines AI public value yield. UAE pilots become hundreds of services; Kuwait stays in pilot mode despite equal fiscal resources.",Albous et al. (2025),Politics & Policy 53(6),https://doi.org/10.1111/polp.70084,Yes,Yes
Canada (federal),North America,2024,Public Administration,AI in public service reform,"AI in Canadian public service: applied to administration, bilingual services, policy analysis, adjudication, compliance monitoring.",Longo (2024),Canadian Public Administration 67(4),https://doi.org/10.1111/capa.12587,Yes,Yes
USA (policing cities),North America,2023,Public Administration,Citizen trust in AI,"Survey experiment (n=4,200): public prefers local over national AI in policing. Institutional context matters more than technical features.",Schiff et al. (2023),Public Administration Review 85(2),https://doi.org/10.1111/puar.13754,Yes,Yes
Multiple cities — GPT adoption,Global,2024,Public Administration,GenAI adoption,"Street-level bureaucrats intend to use GPTs even when prohibited when private-sector competitors have AI access. Mixed methods: focus groups (n=14) survey (n=279). Promethean moment of GenAI.",Frisch-Aviram et al. (2024),Public Administration Review 85(2),https://doi.org/10.1111/puar.13824,No,Yes
Canada,North America,2024,Public Administration,AI governance framework,"Conceptual framework for AI in public administration: accountability requires explainability, interpretability, transparency. AI systems largely under private IP raising accountability challenges.",David (2024),Canadian Public Administration 67(3),https://doi.org/10.1111/capa.12580,Yes,Yes
Nusantara; Indonesia,Asia,2025,Public Administration,Smart bureaucracy,"Five-layer smart bureaucracy model for Indonesia's new capital: strategic, interagency, operations, monitoring, digital infrastructure. Comparative with Putrajaya and Naypyidaw.",Sensuse et al. (2025),Human Behavior and Emerging Technologies,https://doi.org/10.1155/hbe2/9777350,Yes,Yes
Indonesia (multiple agencies),Asia,2025,Public Administration,AI public service delivery,"Effectiveness-efficiency paradox in AI public services (n=805 employees; n=699 citizens). Human-AI collaboration moderates the paradox.",Rulandari & Silalahi (2025),Journal of Public Affairs 25(3),https://doi.org/10.1002/pa.70067,No,Yes
Boston,North America,2024,Public Administration,Accountability & discretion,"Accountable discretion concept. Boston DoIT AI sandboxes. GenAI redistributes discretion across institutional levels. Harvard Kennedy School.",Goldsmith & Yang (2024),Harvard Kennedy School / ScienceDirect,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4968086,No,No
Smart cities — digital twin,Global,2025,Business & Management,AI-enabled governance,"Smart city AI and digital twin convergence: metaverse, privacy-preserving AI, edge AI reshaping smart city management. Large-scale datasets to actionable intelligence remains managerial challenge.",Ko et al. (2025),ETRI Journal 47(5),https://doi.org/10.4218/etr2.70073,No,Yes
Hangzhou; China,Asia,2024,Business & Management,Platform urbanism,"Smartness narratives in eldercare: governments, corporations, investors diverge. Alibaba CityBrain in Hangzhou exemplifies real-time data exploitation for anticipatory governance.",Yu (2024),Transactions of the Institute of British Geographers 50(3),https://doi.org/10.1111/tran.12723,No,Yes
China (enterprise clusters),Asia,2025,Business & Management,AI-enabled enterprise governance,"AI-enabled governance in TCM enterprise clusters: lifecycle model across adaptation, maturity, decline stages. Reduces costs, improves efficiency, fosters stakeholder collaboration (SDG 8 & 9).",Liu et al. (2025),Business Strategy & Development 8(1),https://doi.org/10.1002/bsd2.70069,No,Yes
Dubai,Middle East,2026,Business & Management,Smart city sustainability,"Dubai smart city governance: e-government, clean transport. AI and big data for smart urban management. Lessons for Los Angeles, Santiago and coastal cities globally.",Almheiri et al. (2026),IET Smart Cities 8(1),https://doi.org/10.1049/smc2.70018,Yes,Yes
Global (corporations + cities),Global,2023,Business & Management,AI ethics & CSR,"AI governance frameworks by tech conglomerates, policymakers, IGOs. Key CSR dimensions: accountability, transparency, fairness, privacy, safety, cybersecurity.",Camilleri (2023),Expert Systems 41(7),https://doi.org/10.1111/exsy.13406,Yes,Yes
Global (309 articles SLR),Global,2024,Business & Management,AI ethics governance,"SLR 309 AI ethics articles: design concerns (bias & data) vs human-AI interaction concerns (privacy & surveillance). EU Trustworthy AI Guidelines alignment with company law.",Giarmoleo et al. (2024),Business and Society Review 129(2),https://doi.org/10.1111/basr.12336,Yes,Yes
Kochi; India,Asia,2025,Business & Management,Smart city governance,"Smart city control rooms rewire local governance in India: extend central government control, legitimise ICT companies as urban development actors.",Prakash; Karvonen & Metzger (2025),International Journal of Urban and Regional Research,https://doi.org/10.1111/1468-2427.70025,Yes,Yes
